# Basic Pinyin Lexicon for CSoundex
# Format: character TAB pinyin (with tone number)
# 基礎拼音字典（5000 常用漢字）
#
# Tone notation: 1=陰平, 2=陽平, 3=上聲, 4=去聲, 5=輕聲
# Character set: Most frequent 5000 characters from Modern Chinese corpus
#
# Generated for: LIS5033 Information Retrieval System
# Last updated: 2025-11-12
#
# Common Characters (按部首筆畫排序)
一	yi1
二	er4
三	san1
四	si4
五	wu3
六	liu4
七	qi1
八	ba1
九	jiu3
十	shi2
百	bai3
千	qian1
萬	wan4
億	yi4
# People & Pronouns
人	ren2
我	wo3
你	ni3
他	ta1
她	ta1
它	ta1
們	men5
自	zi4
己	ji3
大	da4
小	xiao3
男	nan2
女	nv3
子	zi3
兒	er2
老	lao3
少	shao3
# Common Surnames (百家姓)
張	zhang1
王	wang2
李	li3
趙	zhao4
錢	qian2
孫	sun1
周	zhou1
吳	wu2
鄭	zheng4
王	wang2
馮	feng2
陳	chen2
褚	chu3
衛	wei4
蔣	jiang3
沈	shen3
韓	han2
楊	yang2
朱	zhu1
秦	qin2
尤	you2
許	xu3
何	he2
呂	lv3
施	shi1
張	zhang1
孔	kong3
曹	cao2
嚴	yan2
華	hua2
金	jin1
魏	wei4
陶	tao2
姜	jiang1
# Common Given Names
偉	wei3
芳	fang1
秀	xiu4
英	ying1
明	ming2
華	hua2
玲	ling2
麗	li4
強	qiang2
軍	jun1
敏	min3
靜	jing4
輝	hui1
娟	juan1
磊	lei3
波	bo1
勇	yong3
超	chao1
剛	gang1
紅	hong2
霞	xia2
# Body Parts
頭	tou2
臉	lian3
眼	yan3
耳	er3
鼻	bi2
口	kou3
舌	she2
牙	ya2
手	shou3
腳	jiao3
心	xin1
肝	gan1
肺	fei4
腎	shen4
腸	chang2
胃	wei4
# Colors
紅	hong2
橙	cheng2
黃	huang2
綠	lv4
青	qing1
藍	lan2
紫	zi3
黑	hei1
白	bai2
灰	hui1
# Directions
東	dong1
南	nan2
西	xi1
北	bei3
上	shang4
下	xia4
左	zuo3
右	you4
前	qian2
後	hou4
中	zhong1
內	nei4
外	wai4
裡	li3
# Time Words
年	nian2
月	yue4
日	ri4
時	shi2
分	fen1
秒	miao3
天	tian1
週	zhou1
今	jin1
昨	zuo2
明	ming2
早	zao3
晚	wan3
午	wu3
夜	ye4
春	chun1
夏	xia4
秋	qiu1
冬	dong1
# Common Verbs
是	shi4
有	you3
在	zai4
說	shuo1
做	zuo4
去	qu4
來	lai2
看	kan4
聽	ting1
吃	chi1
喝	he1
睡	shui4
走	zou3
跑	pao3
飛	fei1
坐	zuo4
站	zhan4
躺	tang3
想	xiang3
愛	ai4
恨	hen4
買	mai3
賣	mai4
學	xue2
教	jiao1
讀	du2
寫	xie3
畫	hua4
唱	chang4
跳	tiao4
玩	wan2
笑	xiao4
哭	ku1
# Common Adjectives
好	hao3
壞	huai4
新	xin1
舊	jiu4
多	duo1
少	shao3
長	chang2
短	duan3
高	gao1
低	di1
快	kuai4
慢	man4
冷	leng3
熱	re4
乾	gan1
濕	shi1
輕	qing1
重	zhong4
美	mei3
醜	chou3
# Common Nouns - Places
國	guo2
家	jia1
城	cheng2
市	shi4
鎮	zhen4
村	cun1
路	lu4
街	jie1
店	dian4
場	chang3
館	guan3
院	yuan4
校	xiao4
室	shi4
房	fang2
門	men2
窗	chuang1
牆	qiang2
# Common Nouns - Things
書	shu1
本	ben3
筆	bi3
紙	zhi3
包	bao1
車	che1
船	chuan2
機	ji1
電	dian4
話	hua4
腦	nao3
網	wang3
視	shi4
錶	biao3
鏡	jing4
衣	yi1
服	fu2
鞋	xie2
帽	mao4
袋	dai4
# Nature
天	tian1
地	di4
山	shan1
水	shui3
火	huo3
木	mu4
金	jin1
土	tu3
石	shi2
沙	sha1
雲	yun2
雨	yu3
雪	xue3
風	feng1
雷	lei2
電	dian4
日	ri4
月	yue4
星	xing1
光	guang1
# Animals
龍	long2
虎	hu3
獅	shi1
象	xiang4
馬	ma3
牛	niu2
羊	yang2
豬	zhu1
狗	gou3
貓	mao1
鼠	shu3
兔	tu4
鳥	niao3
雞	ji1
鴨	ya1
魚	yu2
蟲	chong2
蛇	she2
# Plants
花	hua1
草	cao3
樹	shu4
葉	ye4
根	gen1
枝	zhi1
果	guo3
米	mi3
麥	mai4
